"Banco de México"

"Subastas y colocación de valores"
"Valores Gubernamentales"

"Fecha de consulta: 30/10/2018 07:49:52"

""

"Título","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 28 días"
"Periodo disponible","02/09/1982 - 01/11/2018"
"Periodicidad","Diaria"
"Cifra","Porcentajes"
"Unidad","Porcentajes"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF43936"
05/01/2017,5.82
12/01/2017,5.87
19/01/2017,5.86
26/01/2017,5.77
02/02/2017,5.88
09/02/2017,5.90
16/02/2017,6.21
23/02/2017,6.24
02/03/2017,6.25
09/03/2017,6.29
16/03/2017,6.30
23/03/2017,6.32
30/03/2017,6.43
06/04/2017,6.48
12/04/2017,6.54
20/04/2017,6.47
27/04/2017,6.50
04/05/2017,6.50
11/05/2017,6.49
18/05/2017,6.53
25/05/2017,6.71
01/06/2017,6.72
08/06/2017,6.74
15/06/2017,6.79
22/06/2017,6.87
29/06/2017,6.96
06/07/2017,7.00
13/07/2017,6.98
20/07/2017,6.99
27/07/2017,6.99
03/08/2017,6.99
10/08/2017,6.96
17/08/2017,6.91
24/08/2017,6.92
31/08/2017,6.91
07/09/2017,6.98
14/09/2017,6.98
21/09/2017,6.98
28/09/2017,7.00
05/10/2017,7.03
12/10/2017,7.03
19/10/2017,7.04
26/10/2017,7.02
01/11/2017,7.03
09/11/2017,7.02
16/11/2017,7.01
23/11/2017,7.02
30/11/2017,7.01
07/12/2017,7.02
14/12/2017,7.19
21/12/2017,7.24
28/12/2017,7.22
04/01/2018,7.25
11/01/2018,7.24
18/01/2018,7.24
25/01/2018,7.25
01/02/2018,7.24
08/02/2018,7.35
15/02/2018,7.50
22/02/2018,7.49
01/03/2018,7.47
08/03/2018,7.50
15/03/2018,7.46
22/03/2018,7.44
28/03/2018,7.49
05/04/2018,7.46
12/04/2018,7.47
19/04/2018,7.45
26/04/2018,7.45
03/05/2018,7.47
10/05/2018,7.52
17/05/2018,7.58
24/05/2018,7.51
31/05/2018,7.48
07/06/2018,7.51
14/06/2018,7.62
21/06/2018,7.71
28/06/2018,7.70
05/07/2018,7.72
12/07/2018,7.74
19/07/2018,7.74
26/07/2018,7.72
02/08/2018,7.74
09/08/2018,7.74
16/08/2018,7.74
23/08/2018,7.71
30/08/2018,7.72
06/09/2018,7.70
13/09/2018,7.70
20/09/2018,7.69
27/09/2018,7.65
04/10/2018,7.67
11/10/2018,7.70
18/10/2018,7.65
25/10/2018,7.72
01/11/2018,7.76

