DATE,CLOSING PRICE,OPEN,DAILY HIGH,DAILY LOW
10/29/2018,1673,1711,1718,1665
10/26/2018,1704,1676,1716,1673
10/25/2018,1675,1628,1677,1626
10/24/2018,1616,1640,1658,1614
10/23/2018,1629,1636,1640,1608
10/22/2018,1641,1607,1643,1602
10/19/2018,1606,1582,1608,1571
10/18/2018,1581,1618,1618,1575
10/17/2018,1615,1603,1617,1588
10/16/2018,1589,1569,1608,1551
10/15/2018,1569,1597,1610,1540
10/12/2018,1596,1560,1598,1560
10/11/2018,1552,1538,1567,1534
10/10/2018,1545,1570,1576,1537
10/9/2018,1573,1560,1577,1550
10/8/2018,1553,1544,1566,1530
10/5/2018,1527,1504,1544,1504
10/4/2018,1508,1498,1531,1487
10/3/2018,1498,1541,1545,1494
10/2/2018,1541,1476,1549,1471
10/1/2018,1463,1503,1511,1455
9/28/2018,1496,1531,1544,1494
9/27/2018,1529,1547,1560,1526
9/26/2018,1539,1564,1566,1537
9/25/2018,1563,1588,1596,1560
9/24/2018,1597,1560,1605,1552
9/21/2018,1565,1568,1582,1555
9/20/2018,1563,1566,1581,1556
9/19/2018,1566,1596,1602,1565
9/18/2018,1592,1587,1607,1580
9/17/2018,1585,1584,1615,1582
9/14/2018,1584,1634,1640,1582
9/13/2018,1549,1560,1560,1539
9/12/2018,1541,1553,1555,1515
9/11/2018,1564,1602,1602,1553
9/10/2018,1603,1605,1613,1586
9/7/2018,1600,1604,1630,1595
9/6/2018,1606,1615,1630,1601
9/5/2018,1615,1614,1638,1604
9/4/2018,1625,1610,1629,1598
9/3/2018,1611,1628,1628,1592
8/31/2018,1635,1617,1636,1606
8/30/2018,1610,1642,1654,1608
8/29/2018,1643,1646,1651,1632
8/28/2018,1649,1658,1659,1635
8/27/2018,1664,,,
8/24/2018,1664,1650,1670,1647
8/23/2018,1646,1625,1648,1614
8/22/2018,1625,1595,1625,1591
8/21/2018,1592,1557,1593,1544
8/20/2018,1557,1533,1572,1528
8/17/2018,1534,1539,1547,1529
8/16/2018,1539,1536,1557,1532
8/15/2018,1532,1530,1570,1527
8/14/2018,1529,1533,1538,1522
8/13/2018,1537,1545,1559,1533
8/10/2018,1544,1536,1554,1532
8/9/2018,1539,1553,1566,1532
8/8/2018,1554,1546,1576,1535
8/7/2018,1542,1581,1583,1538
8/6/2018,1583,1528,1584,1514
8/3/2018,1525,1537,1548,1518
8/2/2018,1536,1536,1556,1522
8/1/2018,1529,1592,1597,1527
7/31/2018,1601,1643,1651,1595
7/30/2018,1646,1640,1664,1640
7/27/2018,1648,1694,1709,1644
7/26/2018,1693,1649,1706,1636
7/25/2018,1646,1649,1658,1637
7/24/2018,1653,1673,1679,1648
7/23/2018,1678,1703,1707,1674
7/20/2018,1699,1703,1718,1686
7/19/2018,1693,1707,1742,1688
7/18/2018,1709,1753,1768,1706
7/17/2018,1743,1754,1766,1740
7/16/2018,1885,1915,1920,1890
7/13/2018,1860,1858,1860,1844
7/12/2018,1862,1857,1872,1846
7/11/2018,1867,1874,1881,1844
7/10/2018,1882,1873,1891,1864
7/9/2018,1867,1874,1874,1855
7/6/2018,1876,1881,1900,1850
7/5/2018,1897,1852,1900,1844
7/4/2018,1860,1850,1860,1849
7/3/2018,1868,1900,1915,1859
7/2/2018,1906,1890,1908,1877
6/29/2018,1898,1875,1905,1850
6/28/2018,1885,1813,1893,1797
6/27/2018,1820,1834,1834,1796
6/26/2018,1827,1840,1844,1806
6/25/2018,1834,1841,1846,1830
6/22/2018,1835,1831,1842,1799
6/21/2018,1832,1850,1850,1810
6/20/2018,1845,1786,1847,1785
6/19/2018,1784,1753,1790,1740
6/18/2018,1747,1747,1765,1714
6/15/2018,1750,1686,1756,1672
6/14/2018,1687,1633,1691,1631
6/13/2018,1636,1675,1686,1626
6/12/2018,1685,1676,1706,1660
6/11/2018,1676,1679,1681,1626
6/8/2018,1689,1612,1697,1609
6/7/2018,1615,1644,1657,1611
6/6/2018,1646,1636,1664,1615
6/5/2018,1639,1681,1693,1632
6/4/2018,1693,1758,1758,1682
6/1/2018,1760,1770,1777,1739
5/31/2018,1773,1815,1819,1767
5/30/2018,1821,1820,1831,1808
5/29/2018,1815,1843,1855,1810
5/28/2018,1844,,,
5/25/2018,1844,1868,1884,1842
5/24/2018,1865,1881,1885,1860
5/23/2018,1882,1866,1885,1866
5/22/2018,1857,1856,1896,1850
5/21/2018,1863,1874,1886,1861
5/18/2018,1882,1852,1908,1840
5/17/2018,1856,1895,1933,1852
5/16/2018,1895,1868,1901,1844
5/15/2018,1813,1819,1840,1809
5/14/2018,1822,1848,1853,1809
5/11/2018,1855,1857,1870,1840
5/10/2018,1866,1864,1870,1846
5/9/2018,1870,1868,1872,1817
5/8/2018,1866,1905,1915,1865
5/7/2018,1884,,,
